Lon Lat vE vN
22.90 36.25 7.77 -12.19
22.95 36.25 7.71 -12.08
23.00 36.25 7.60 -12.02
23.05 36.25 7.60 -12.16
23.10 36.25 7.69 -12.11
23.15 36.25 7.69 -11.98
22.90 36.30 7.62 -12.21
22.95 36.30 7.65 -12.08
23.00 36.30 7.57 -12.05
23.05 36.30 7.56 -12.11
23.10 36.30 7.56 -12.09
23.15 36.30 7.55 -11.99
22.45 36.35 4.39 -11.87
22.50 36.35 4.40 -11.86
22.90 36.35 7.52 -12.28
22.95 36.35 7.51 -12.19
23.00 36.35 7.48 -12.14
23.05 36.35 7.47 -12.12
23.10 36.35 7.45 -12.07
23.15 36.35 7.44 -11.99
23.20 36.35 7.43 -11.90
22.40 36.40 4.36 -11.91
22.45 36.40 4.37 -11.88
22.50 36.40 4.39 -11.87
22.90 36.40 7.38 -12.36
22.95 36.40 7.37 -12.26
23.00 36.40 7.35 -12.20
23.05 36.40 7.34 -12.15
23.10 36.40 7.32 -12.08
23.15 36.40 7.32 -12.00
23.20 36.40 7.31 -11.90
22.35 36.45 4.25 -11.85
22.40 36.45 4.28 -11.89
22.45 36.45 4.31 -11.89
22.50 36.45 4.32 -11.85
22.90 36.45 7.24 -12.42
22.95 36.45 7.23 -12.32
23.00 36.45 7.21 -12.25
23.05 36.45 7.20 -12.18
23.10 36.45 7.19 -12.11
23.15 36.45 7.18 -12.02
23.20 36.45 7.17 -11.91
22.30 36.50 4.33 -11.75
22.35 36.50 4.33 -11.84
22.40 36.50 4.31 -11.89
22.45 36.50 4.30 -11.91
22.50 36.50 4.31 -11.95
22.90 36.50 7.09 -12.47
22.95 36.50 7.08 -12.36
23.00 36.50 7.06 -12.28
23.05 36.50 7.06 -12.22
23.10 36.50 7.02 -12.17
23.15 36.50 7.03 -12.05
23.20 36.50 7.03 -11.94
22.30 36.55 4.41 -11.74
22.35 36.55 4.40 -11.81
22.40 36.55 4.40 -11.87
22.45 36.55 4.40 -11.93
22.50 36.55 4.40 -12.02
22.90 36.55 6.93 -12.50
22.95 36.55 6.93 -12.39
23.00 36.55 6.92 -12.31
23.05 36.55 6.91 -12.24
23.10 36.55 6.90 -12.18
23.15 36.55 6.90 -12.08
23.20 36.55 6.89 -11.97
22.30 36.60 4.49 -11.70
22.35 36.60 4.48 -11.80
22.40 36.60 4.50 -11.88
22.45 36.60 4.54 -11.95
22.50 36.60 4.56 -12.06
22.55 36.60 4.57 -12.19
22.85 36.60 6.77 -12.60
22.90 36.60 6.77 -12.50
22.95 36.60 6.78 -12.40
23.00 36.60 6.78 -12.33
23.05 36.60 6.79 -12.27
23.10 36.60 6.78 -12.20
23.15 36.60 6.77 -12.10
23.20 36.60 6.75 -11.97
22.30 36.65 4.65 -11.64
22.35 36.65 4.62 -11.79
22.40 36.65 4.67 -11.88
22.45 36.65 4.72 -11.96
22.50 36.65 4.75 -12.06
22.55 36.65 4.77 -12.16
22.60 36.65 4.80 -12.27
22.80 36.65 6.58 -12.68
22.85 36.65 6.59 -12.58
22.90 36.65 6.63 -12.49
22.95 36.65 6.66 -12.41
23.00 36.65 6.68 -12.35
23.05 36.65 6.69 -12.30
23.10 36.65 6.69 -12.24
23.15 36.65 6.68 -12.18
21.65 36.70 3.91 -11.48
21.70 36.70 3.91 -11.41
21.75 36.70 3.90 -11.34
21.80 36.70 3.88 -11.27
21.85 36.70 3.84 -11.21
21.90 36.70 3.77 -11.22
21.95 36.70 3.75 -11.25
22.30 36.70 4.88 -11.64
22.35 36.70 4.88 -11.79
22.40 36.70 4.90 -11.87
22.45 36.70 4.92 -11.96
22.50 36.70 4.94 -12.04
22.55 36.70 4.98 -12.14
22.60 36.70 5.00 -12.27
22.65 36.70 4.97 -12.48
22.75 36.70 6.36 -12.72
22.80 36.70 6.37 -12.63
22.85 36.70 6.45 -12.56
22.90 36.70 6.52 -12.50
22.95 36.70 6.60 -12.43
23.00 36.70 6.61 -12.38
23.05 36.70 6.63 -12.33
23.10 36.70 6.64 -12.28
23.15 36.70 6.64 -12.22
21.65 36.75 3.84 -11.48
21.70 36.75 3.83 -11.42
21.75 36.75 3.81 -11.34
21.80 36.75 3.80 -11.27
